Historic Number Of Orders,Average Order Value,First Active,Last Active,Historic Customer Lifetime Value,days active
1.0,231.45,2021-04-05,2022-05-02,231.11,392.0
3.0,178.95,2021-04-20,2022-05-02,533.48,377.0
1.0,125.68,2021-04-05,2022-05-02,125.34,392.0
1.0,148.45,2021-04-05,2022-05-02,148.11,392.0
1.0,88.89,2021-04-03,2022-05-02,88.55,394.0
1.0,110.74,2021-04-05,2022-05-02,110.4,392.0
1.0,130.27,2021-04-18,2022-05-02,129.93,379.0
1.0,96.83,2021-04-05,2022-05-02,96.49,392.0
1.0,125.53,2021-04-09,2022-05-02,125.19,388.0
4.0,245.57,2021-04-05,2022-05-02,977.39,392.0
1.0,207.28,2021-04-05,2022-05-02,206.94,392.0
1.0,174.32,2021-04-05,2022-05-02,173.98,392.0
2.0,160.16,2021-04-08,2022-05-02,318.46,389.0
3.0,168.06,2021-04-05,2022-05-02,500.83,392.0
1.0,294.29,2021-04-05,2022-05-02,293.95,392.0
1.0,125.68,2021-04-05,2022-05-02,125.34,392.0
1.0,310.32,2021-12-31,2022-05-02,309.98,122.0
1.0,88.89,2021-04-05,2022-05-02,88.55,392.0
2.0,136.47,2021-02-19,2022-05-02,271.09,437.0
3.0,136.41,2021-02-19,2022-05-02,405.87,437.0
1.0,70.5,2021-03-05,2022-05-02,70.16,423.0
1.0,113.89,2021-03-05,2022-05-02,113.55,423.0
2.0,104.87,2021-02-20,2022-05-02,207.9,436.0
5.0,139.75,2021-02-19,2022-05-02,692.35,437.0
1.0,96.93,2021-02-20,2022-05-02,96.59,436.0
4.0,170.93,2021-02-19,2022-05-02,678.83,437.0
3.0,111.08,2021-02-20,2022-05-02,329.89,436.0
2.0,159.01,2021-02-20,2022-05-02,316.17,436.0
4.0,184.21,2021-02-20,2022-05-02,731.98,436.0
2.0,206.91,2021-04-21,2022-05-02,411.98,376.0
4.0,200.66,2021-02-19,2022-05-02,797.77,437.0
2.0,375.91,2021-03-05,2022-05-02,749.98,423.0
1.0,340.68,2021-02-20,2022-05-02,340.34,436.0
1.0,123.91,2021-02-19,2022-05-02,123.57,437.0
4.0,219.95,2021-02-19,2022-05-02,874.91,437.0
3.0,206.36,2021-03-05,2022-05-02,615.72,423.0
